scale,gamma,comparison_type,metric,statistic,value,seed_count
medium_large,2,level,wminfr,median,0.984192558731424,5
medium_large,2,level,wminfr,std,0.07406699976782131,5
medium_large,2,level,wminfr,iqr,0.0914534223598652,5
medium_large,2,level,wminfr,min,0.827079335068077,5
medium_large,2,level,wminfr,max,0.9955084298486083,5
medium_large,2,level,minimum_weighted_mean_fill_rate,mean,0.9377483199768504,5
medium_large,2,level,minimum_weighted_mean_fill_rate,median,0.9841925587314241,5
medium_large,2,level,minimum_weighted_mean_fill_rate,std,0.07406699976782118,5
medium_large,2,level,minimum_weighted_mean_fill_rate,iqr,0.09145342235986531,5
medium_large,2,level,minimum_weighted_mean_fill_rate,min,0.8270793350680775,5
medium_large,2,level,minimum_weighted_mean_fill_rate,max,0.9955084298486084,5
medium_large,2,level,inventory,mean,3778.824380953527,5
medium_large,2,level,inventory,median,3975.204394182684,5
medium_large,2,level,inventory,std,409.146932177996,5
medium_large,2,level,inventory,iqr,424.16767268754256,5
medium_large,2,level,inventory,min,3149.658711426201,5
medium_large,2,level,inventory,max,4158.028411168911,5
medium_large,2,level,opened_warehouses,mean,6.0,5
medium_large,2,level,opened_warehouses,median,6.0,5
medium_large,2,level,opened_warehouses,std,0.0,5
medium_large,2,level,opened_warehouses,iqr,0.0,5
medium_large,2,level,opened_warehouses,min,6.0,5
medium_large,2,level,opened_warehouses,max,6.0,5
medium_large,2,level,algorithm_runtime,mean,22.03424230000237,5
medium_large,2,level,algorithm_runtime,median,21.003595200003474,5
medium_large,2,level,algorithm_runtime,std,6.4820576857107906,5
medium_large,2,level,algorithm_runtime,iqr,4.491579200010165,5
medium_large,2,level,algorithm_runtime,min,13.803194300009636,5
medium_large,2,level,algorithm_runtime,max,31.476302199997008,5
medium_large,2,level,master_runtime,mean,3.715544740005862,5
medium_large,2,level,master_runtime,median,4.235358199977782,5
medium_large,2,level,master_runtime,std,1.6140952263343646,5
medium_large,2,level,master_runtime,iqr,1.497667600022396,5
medium_large,2,level,master_runtime,min,1.2086365000141086,5
medium_large,2,level,master_runtime,max,5.353864800024894,5
medium_large,2,level,separation_runtime,mean,18.096428560005734,5
medium_large,2,level,separation_runtime,median,15.450718600026448,5
medium_large,2,level,separation_runtime,std,5.592676987723206,5
medium_large,2,level,separation_runtime,iqr,5.499537600058829,5
medium_large,2,level,separation_runtime,min,12.465476199999102,5
medium_large,2,level,separation_runtime,max,26.538501800008817,5
medium_large,2,level,post_evaluation_wall_runtime,mean,8.854737380024744,5
medium_large,2,level,post_evaluation_wall_runtime,median,8.49366850007209,5
medium_large,2,level,post_evaluation_wall_runtime,std,0.6831412033807005,5
medium_large,2,level,post_evaluation_wall_runtime,iqr,0.6436525999451987,5
medium_large,2,level,post_evaluation_wall_runtime,min,8.365008599997964,5
medium_large,2,level,post_evaluation_wall_runtime,max,9.974236400041264,5
medium_large,2,level,total_wall_runtime,mean,34.93500804000068,5
medium_large,2,level,total_wall_runtime,median,35.75258289996418,5
medium_large,2,level,total_wall_runtime,std,6.352577256964881,5
medium_large,2,level,total_wall_runtime,iqr,3.5065280002600048,5
medium_large,2,level,total_wall_runtime,min,25.88179189999937,5
medium_large,2,level,total_wall_runtime,max,43.455764199985424,5
medium_large,2,level,penalized_runtime_par2,mean,22.03424230000237,5
medium_large,2,level,penalized_runtime_par2,median,21.003595200003474,5
medium_large,2,level,penalized_runtime_par2,std,6.4820576857107906,5
medium_large,2,level,penalized_runtime_par2,iqr,4.491579200010165,5
medium_large,2,level,penalized_runtime_par2,min,13.803194300009636,5
medium_large,2,level,penalized_runtime_par2,max,31.476302199997008,5
medium_large,2,level,iterations,mean,5.4,5
medium_large,2,level,iterations,median,5.0,5
medium_large,2,level,iterations,std,2.073644135332772,5
medium_large,2,level,iterations,iqr,3.0,5
medium_large,2,level,iterations,min,3.0,5
medium_large,2,level,iterations,max,8.0,5
medium_large,2,level,scenario_block_count,mean,15.4,5
medium_large,2,level,scenario_block_count,median,15.0,5
medium_large,2,level,scenario_block_count,std,2.073644135332772,5
medium_large,2,level,scenario_block_count,iqr,3.0,5
medium_large,2,level,scenario_block_count,min,13.0,5
medium_large,2,level,scenario_block_count,max,18.0,5
medium_large,2,level,certified_farkas_cut_count,mean,4.4,5
medium_large,2,level,certified_farkas_cut_count,median,4.0,5
medium_large,2,level,certified_farkas_cut_count,std,2.073644135332772,5
medium_large,2,level,certified_farkas_cut_count,iqr,3.0,5
medium_large,2,level,certified_farkas_cut_count,min,2.0,5
medium_large,2,level,certified_farkas_cut_count,max,7.0,5
medium_large,0_to_1,paired_delta,baseline_robust_cost,mean,896.0072105690746,5
medium_large,0_to_1,paired_delta,baseline_robust_cost,median,438.23117972449836,5
medium_large,0_to_1,paired_delta,baseline_robust_cost,std,699.7657580505742,5
medium_large,0_to_1,paired_delta,baseline_robust_cost,iqr,921.2249649724745,5
medium_large,0_to_1,paired_delta,baseline_robust_cost,min,392.4384682893942,5
medium_large,0_to_1,paired_delta,baseline_robust_cost,max,1929.7385426568035,5
medium_large,0_to_1,paired_delta,cost_budget,mean,918.4073908333015,5
medium_large,0_to_1,paired_delta,cost_budget,median,449.18695921761173,5
medium_large,0_to_1,paired_delta,cost_budget,std,717.2599020018372,5
medium_large,0_to_1,paired_delta,cost_budget,iqr,944.2555890967869,5
medium_large,0_to_1,paired_delta,cost_budget,min,402.2494299966311,5
medium_large,0_to_1,paired_delta,cost_budget,max,1977.982006223221,5
medium_large,0_to_1,paired_delta,actual_robust_cost,mean,902.3598306024342,5
medium_large,0_to_1,paired_delta,actual_robust_cost,median,540.0133797072849,5
medium_large,0_to_1,paired_delta,actual_robust_cost,std,737.7385925732302,5
medium_large,0_to_1,paired_delta,actual_robust_cost,iqr,975.1517530967794,5
medium_large,0_to_1,paired_delta,actual_robust_cost,min,261.87927682150075,5
medium_large,0_to_1,paired_delta,actual_robust_cost,max,1978.1841017543484,5
medium_large,0_to_1,paired_delta,actual_price_of_fairness,mean,-0.0010051095942514188,5
medium_large,0_to_1,paired_delta,actual_price_of_fairness,median,-4.440892098500626e-16,5
medium_large,0_to_1,paired_delta,actual_price_of_fairness,std,0.005286670362393633,5
medium_large,0_to_1,paired_delta,actual_price_of_fairness,iqr,0.0011610945754301216,5
medium_large,0_to_1,paired_delta,actual_price_of_fairness,min,-0.009288206800071697,5
medium_large,0_to_1,paired_delta,actual_price_of_fairness,max,0.005407961333419031,5
medium_large,0_to_1,paired_delta,objective_t,mean,0.006659745763380962,5
medium_large,0_to_1,paired_delta,objective_t,median,0.007379603401655689,5
medium_large,0_to_1,paired_delta,objective_t,std,0.004193795202946027,5
medium_large,0_to_1,paired_delta,objective_t,iqr,0.003734535025780596,5
medium_large,0_to_1,paired_delta,objective_t,min,0.0,5
medium_large,0_to_1,paired_delta,objective_t,max,0.010760577987738468,5
medium_large,0_to_1,paired_delta,robust_minimum_fill_rate,mean,-0.006659745763380953,5
medium_large,0_to_1,paired_delta,robust_minimum_fill_rate,median,-0.0073796034016556655,5
medium_large,0_to_1,paired_delta,robust_minimum_fill_rate,std,0.004193795202946032,5
medium_large,0_to_1,paired_delta,robust_minimum_fill_rate,iqr,0.003734535025780694,5
medium_large,0_to_1,paired_delta,robust_minimum_fill_rate,min,-0.01076057798773844,5
medium_large,0_to_1,paired_delta,robust_minimum_fill_rate,max,0.0,5
medium_large,0_to_1,paired_delta,wminfr,mean,-0.006659745763380997,5
