scale,rho,seed_count,metric,label,unit,mean,median,standard_deviation,iqr,min,max
large,0.025,10,wminfr,Post-evaluation worst-scenario minimum regional fill rate,fraction,0.9242869308538604,0.9477442721893059,0.07778162495392595,0.11151661639200483,0.7925311176139487,1.0
large,0.025,10,wwd,Post-evaluation worst regional deviation below weighted mean,fraction,0.008539174543192307,0.009718364305566218,0.003474027830841215,0.002067572721503097,0.0,0.011380791014063751
large,0.05,10,actual_price_of_fairness,Actual price of fairness,fraction_of_baseline_cost,0.04039001297534237,0.04956237154483778,0.012307635867098368,0.022098757027323224,0.02319631973847991,0.05000000000000071
large,0.05,10,actual_robust_cost,Post-evaluation robust cost,model_cost_units,32613.71517655527,28392.017491828978,10577.374852183273,9044.301504159877,24141.238725162697,53528.1198143503
large,0.05,10,algorithm_runtime,Algorithm runtime,seconds,61.666705459984954,63.460914400056936,21.41797215210387,28.523243174829986,29.062795199919492,91.15965620009229
large,0.05,10,cut_count,Certified Farkas cuts,count,5.7,5.5,2.4517567397911058,4.0,2.0,9.0
large,0.05,10,iterations,Algorithm iterations,count,6.7,6.5,2.4517567397911058,4.0,3.0,10.0
large,0.05,10,minimum_weighted_mean_fill_rate,Worst-scenario demand-weighted mean regional fill rate,fraction,0.9256045307247293,0.9486682745576773,0.07658613563636832,0.10815829056705462,0.7951244737127523,1.0
large,0.05,10,objective_t,Certified robust worst-region shortage rate (T),fraction,0.07439546927527066,0.05133172544232256,0.07658613563636837,0.10815829056705459,0.0,0.20487552628724778
large,0.05,10,penalized_runtime_par2,PAR-2 algorithm runtime,seconds,61.666705459984954,63.460914400056936,21.41797215210387,28.523243174829986,29.062795199919492,91.15965620009229
large,0.05,10,post_evaluation_wall_runtime,Post-evaluation wall time,seconds,32.84090005012695,32.85632484953385,0.889912960204695,0.4543769750162028,31.697902099695057,35.07628730358556
large,0.05,10,robust_minimum_fill_rate,Certified robust minimum regional fill-rate guarantee (1 - T),fraction,0.9256045307247293,0.9486682745576774,0.07658613563636837,0.10815829056705462,0.7951244737127522,1.0
large,0.05,10,scenario_count,Committed master scenario blocks,count,18.7,18.5,2.4517567397911058,4.0,15.0,22.0
large,0.05,10,total_wall_runtime,Total wall time,seconds,116.83431524988264,118.63038079836406,21.51621799710702,28.15681619895622,82.7362180983182,147.41985029680654
large,0.05,10,wgap,Post-evaluation worst fill-rate range,fraction,0.04634149556857457,0.04604145405579879,0.040047071303049034,0.06076339825206806,0.0,0.10565415763387942
large,0.05,10,wminfr,Post-evaluation worst-scenario minimum regional fill rate,fraction,0.9256045307247291,0.9486682745576771,0.07658613563636843,0.10815829056705473,0.7951244737127519,1.0
large,0.05,10,wwd,Post-evaluation worst regional deviation below weighted mean,fraction,0.008554869901345607,0.009732293121159419,0.0034826814023854362,0.0020823305877502862,0.0,0.011383615466284192
large,0.1,10,actual_price_of_fairness,Actual price of fairness,fraction_of_baseline_cost,0.07483331263353458,0.09987981874541785,0.03259189283007235,0.05942700275457302,0.029181263147858516,0.10000000000000031
large,0.1,10,actual_robust_cost,Post-evaluation robust cost,model_cost_units,33799.02465321083,29752.747882502445,11381.584760500618,10369.93034234285,24489.04773134173,56077.04376574543
large,0.1,10,algorithm_runtime,Algorithm runtime,seconds,54.85905923997052,52.72195954993367,18.142432198645718,33.73460979992524,34.872264500008896,82.15856650006026
large,0.1,10,cut_count,Certified Farkas cuts,count,5.5,5.0,2.5495097567963922,5.0,3.0,9.0
large,0.1,10,iterations,Algorithm iterations,count,6.5,6.0,2.5495097567963922,5.0,4.0,10.0
large,0.1,10,minimum_weighted_mean_fill_rate,Worst-scenario demand-weighted mean regional fill rate,fraction,0.9274836392696564,0.9494677183444679,0.07468434697161115,0.10437568231093408,0.7996773405875659,1.0
large,0.1,10,objective_t,Certified robust worst-region shortage rate (T),fraction,0.07251636073034357,0.05053228165553214,0.07468434697161114,0.10437568231093405,0.0,0.2003226594124341
large,0.1,10,penalized_runtime_par2,PAR-2 algorithm runtime,seconds,54.85905923997052,52.72195954993367,18.142432198645718,33.73460979992524,34.872264500008896,82.15856650006026
large,0.1,10,post_evaluation_wall_runtime,Post-evaluation wall time,seconds,32.8287001194898,32.65325109940022,0.855947424982111,1.3891050758538768,31.892337099881843,34.40672320011072
large,0.1,10,robust_minimum_fill_rate,Certified robust minimum regional fill-rate guarantee (1 - T),fraction,0.9274836392696564,0.9494677183444679,0.07468434697161112,0.10437568231093397,0.7996773405875659,1.0
large,0.1,10,scenario_count,Committed master scenario blocks,count,18.5,18.0,2.5495097567963922,5.0,16.0,22.0
large,0.1,10,total_wall_runtime,Total wall time,seconds,110.03414262980223,105.89604064950254,18.548990587800958,33.42291207576636,91.07447460107505,140.36754399677739
large,0.1,10,wgap,Post-evaluation worst fill-rate range,fraction,0.04071652619806472,0.03849858499483305,0.03389121984098773,0.057650123394641734,0.0,0.09071116547127878
large,0.1,10,wminfr,Post-evaluation worst-scenario minimum regional fill rate,fraction,0.9274836392696562,0.9494677183444677,0.07468434697161136,0.10437568231093464,0.7996773405875655,1.0
large,0.1,10,wwd,Post-evaluation worst regional deviation below weighted mean,fraction,0.008552399281965361,0.009696712638878946,0.0034822626291178115,0.002062754715317694,0.0,0.011388652077155448
